GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
100117,0.3,0.1567398119122257,S-EE,,Fermi GBM,,,,,0.914,Elliptical,Q,1.35,0.314,0.32,2.9512092266663856,0.0,1.7261421862055952,SED,1.5848931924611107e-11,0.0,8.698157232239127e-12,0.3548133892335754,0.1309412753767415,0.2075279359567736,SED,21379620895.022324,7889992069.105763,6804208417.6221695,"Jeong 2024, Nugent 2022"
100206A,0.12,0.0852878464818763,S,,Swift,2.5898828931003908,60.9972105863336,19.33927017162288,7.467237311441338,0.407,,SF,25.28,,13.05,4.786300923226384,4.1256074752187875,402.5939768808862,SED,7.762471166286926e-11,6.690951861049318e-11,2.3910704478532077e-08,1.5135612484362082,0.0344528602680007,0.0352553704762732,SED,61659500186.148094,47205102478.68887,55830255307.80445,"Fong 2022, Jeong 2024, Li 2016, Nugent 2022"
100216A,0.208,0.2003853564547206,S,,,1.571556742227375,11.01487896883246,5.461098123589938,3.474960831417322,0.038,,SF,,,,7.762471166286917,7.423627010147714,12.19015198340188,SED,1.6982436524617458e-10,1.6223858949588276e-10,2.6669146699399176e-10,,,,SED,741310241.3009162,273575100.01371807,235926979.654891,Jeong 2024
100219A,18.8,3.3176275433673923,L,,Swift,,,,,4.6667,,,,,,5.1,,,UV,,,,0.1258925411794167,0.086081824124067,0.2722146293740805,A/O,,,,Li 2016
100316B,3.8,1.743119266055046,L,,Swift,0.8284766648549745,1.3299952673307114,1.15358632713515,1.392418611255739,1.18,,,,,,2.5,0.2,0.2,[OII],,,,0.5128613839913648,,,E/KK04,,,,Li 2016
100316D,521.88,492.71148036253777,L,SN,Swift,0.7796505232516808,1.0935541389747825,0.999378907550763,1.2818293296112508,0.0592,,,,,,1.7,,,H alpha,1.91e-09,,,0.4073802778041127,0.0837866208744844,0.1054811061872521,E/PP04,891250938.1337441,,,"Li 2016, SNTABLE"
100418A,7.0,4.31167231290422,L,SN,Swift,0.8733525557968502,1.577466072704344,1.3073434677080862,1.4969252211270636,0.6235,,,,,,4.2,0.8,1.0,H alpha,1.21e-09,,,0.6760829753919817,0.139051179021729,0.1750550628103947,E,3467368504.5253096,231431935.2290287,3139565975.5506277,"Li 2016, SNTABLE"
100424A,104.0,30.00923361034165,L,,Swift,1.1221993812843425,3.581376152515283,2.387480849221604,2.1275014841740183,2.4656,,,,,,21.0,8.0,20.0,H beta,,,,0.1737800828749375,0.0589647207252492,0.1352494603764215,E,,,,Li 2016
100425A,37.0,13.430127041742288,L,,Swift,0.7388223881486059,0.9201103850139007,0.8806226799561961,1.191927443025818,1.755,,,,,,,,,,,,,0.1096478196143185,0.0679608812672849,0.178755330698342,A/Fe,,,,Li 2016
100508A,52.0,34.20827577133083,L,,Swift,1.7191353391251256,14.923469755252215,6.832344758838283,3.9742913797091095,0.5201,,,,,,2.6,0.5,0.7,H alpha,,,,0.9772372209558108,0.2009901043271189,0.2530315498565709,E,,,,Li 2016
100513A,84.0,14.553014553014552,L,,Swift,1.3260499679061228,6.230172271968789,3.5882281120705737,2.705952414249144,4.772,,,,,,6.0,,,UV,,,,,,,,,,,Li 2016
100518A,,,L,,,,,,,4.0,,,,,,0.5,,,UV,,,,,,,,,,,Li 2016
100526A,102.0,,L,,Swift,1.119695786146641,3.554921280505196,2.3744884149308128,2.120654953165857,,,,1.645,,0.411,,,,,,,,,,,,,,,"Blanchard 2016, de Ugarte Postigo 2006"
100606A,480.0,187.90369935408103,L,,Swift,1.790029055236191,17.119059511874593,7.560665389208253,4.223766852885323,1.5545,,,,,,4.9,1.8,12.9,H alpha,,,,1.0471285480508996,0.4014743190162441,0.5746815493080304,E,,,,Li 2016
100615A,39.0,16.25,L,,Swift,1.0989044115103503,3.341874282824342,2.2690287815240247,2.0648099668700377,1.4,,,2.073,,2.694,8.6,4.4,13.9,Literature,2.1602223310982408e-08,,,0.5128613839913648,0.1326719876708036,0.1632215914006169,E,398107170.5534969,146918527.4025387,232850173.9266948,"Blanchard 2016, Li 2016, Perley 2016, Schneider 2022"
100621A,63.6,41.2290937378452,L,,Swift,1.074484392570411,3.103772654458573,2.149017538792128,2.0000453739967217,0.5426,,,0.284,,0.439,8.7,0.8,0.8,H alpha,9.11e-09,,,0.6760829753919817,0.139051179021729,0.1750550628103947,E,954992586.0214368,196415010.99225175,363264152.53497314,"Blanchard 2016, Li 2016, Perley 2016"
