GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
060814,145.3,49.76027397260275,L,,Swift,1.3874906755529806,7.247859970770333,4.0113440351752025,2.89107819306713,1.92,,L,,,,56.0,9.0,9.0,Literature,5.5300000000000005e-09,,,,,,,26915348039.26914,6497968592.573822,8565990884.088322,"Perley 2016, Schneider 2022"
060904B,171.9,100.94544600387574,L,SN,Swift,1.2680896882568773,5.368339063565255,3.21573209013441,2.535886948623305,0.7029,,L,,,,,,,,,,,,,,,,,,"Li 2016, SNTABLE"
060906A,44.58,9.514256445279154,L,,Swift,,,,,3.6856,,L,,,,8.2,,,UV,3.264478798538674e-09,,,0.0190546071796324,,,A/S,2511886431.509582,,,Li 2016
060908,19.3,6.693022610625607,L,,Swift,1.5974230973615804,11.639654992577318,5.687740957134825,3.560572628835222,1.8836,,L,,,,1.76,0.22,0.22,Lya,1.2459845805160815e-09,,,,,,,1412537544.6227555,,,Perley 2016
060912A,5.03,2.5978721206486934,L,,Swift,1.2069243259617,4.555856287107514,2.849836822202028,2.361239027916041,0.9362,,L,5.155,,1.203,5.1,1.6,2.1,H alpha,3e-09,,,0.831763771102671,0.2008064266224777,0.2397555341349354,E,1698243652.461746,252803881.71581793,251600947.2963035,"Blanchard 2016, Li 2016"
060923B,8.95,3.5665896230174536,L,,Swift,0.7201289979788592,0.8477155217497048,0.8292971126470167,1.1515952210986542,1.5094,,L,2.46,,0.56,3.0,1.5,2.9,H alpha,8.6e-10,,,,,,,102329299228.07536,13204205414.700958,7318520386.24292,Li 2016
060926A,7.79,1.8507959135186507,L,,Swift,,,,,3.209,,L,,,,26.0,17.0,47.0,[OIII],2.1600000000000004e-09,,,0.0478630092322638,,,A/Zn,12022644346.174131,4079361998.9313097,6174364239.925695,Li 2016
060927,22.5,3.4792021029843823,L,,Swift,,,,,5.467,,L,,,,0.9,,,UV,2.1098059337879258e-10,,,0.0281838293126445,,,A/S,4265795188.0159345,,,Perley 2016
061006,0.5,0.3422313483915126,S-EE,LC KN,Swift,1.2007152532028462,4.478475736391619,2.8141680095509862,2.343743033199868,0.461,,SF,1.39,0.24,0.29,2.6915348039269156,2.5685079268456774,28.931241797756876,SED,7.413102413009162e-10,6.93447232068652e-10,9.4916196815066e-09,0.1445439770745927,0.0323421316443964,0.0793281367822412,SED,501187233.6272715,162343077.48806942,977921154.5409358,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022, Krimm 2006"
061007,75.3,33.31858407079646,L,,Swift,1.9721501819678584,23.82648497429508,9.651394001131193,4.893843323585427,1.26,,L,0.184,,0.862,4.4,2.1,6.2,Literature,5.539271811894332e-09,,,,,,,794328234.7242821,543139591.573324,1200934080.2446008,"Blanchard 2016, Perley 2016, Schneider 2022"
061021,46.2,34.31627423308326,L,,Swift,1.6443726878248337,12.836009741588716,6.113361408738,3.717746867241341,0.3463,,L,,,,0.05,0.01,0.03,H alpha,1.6000000000000002e-10,,,,,,,42657951.88015926,216227766.01683795,683772233.983162,Perley 2016
061110B,132.76,29.938661374706836,L,,Swift,1.977424939434788,24.044742908650797,9.716726270526197,4.913828118959373,3.4344,,L,0.449,,0.22,5.5,0.15,0.38,UV,2.756529784949993e-09,,,0.0144543977074592,,,A/S,1995262314.9688828,,,"Blanchard 2016, Li 2016"
061121,81.3,35.12637718729747,L,,Swift,1.5129337730404426,9.691032224170842,4.96889620511077,3.284278726308759,1.3145,,L,,,,,,,,,,,,,,,20417379446.695316,,,Perley 2016
061126A,50.28,23.29071706503613,L,,Swift,,,,,1.1588,,L,,,,2.38,,,[OII],1.2e-10,,,,,,,20417379446.695316,13499069737.505957,39838579160.740616,Li 2016
061201,0.76,0.684068406840684,S,LC KN,Swift,,,,,0.111,,SF,34.0,2.0,2.0,0.14,,,,,,,,,,,,,,"Fong 2022, Kann 2011, Stratta 2007"
061202,91.2,28.03565939133108,L,,Swift,,,,,2.253,,L,,,,43.0,22.0,60.0,H alpha,4.400159866807241e-09,,,,,,,9772372209.558111,,,Perley 2016
061210,85.3,60.5179141539553,S-EE,,Swift,1.3688632855911491,6.927874711265204,3.8799846022576103,2.834457350926775,0.4095,,SF,15.51,9.9,14.36,5.7543993733715695,4.682880068133963,39.95441958811595,SED,5.7543993733715666e-11,4.682880068133962e-11,3.69035525067876e-10,0.933254300796991,0.4203929168056262,0.2970144700153906,SED,3019951720.402019,675722905.0820913,870499729.5407858,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
061217,0.212,0.1160372194854953,S,,Swift,2.5257484599104547,55.90879221388251,18.13218351115684,7.178934798518961,0.827,,S,58.2,29.5,29.5,2.5,,,[OII],1.99e-09,,,,,,,1258925411.794166,,,"Kann 2011, Leibler 2010"
061222B,37.25,8.553386911595865,L,,Swift,1.0309076272778703,2.709255122122168,1.9447322137007643,1.886427224169312,3.355,,L,0.368,,0.368,2.7,0.2,0.2,SED,2.1e-09,,,,,,,1288249551.6931322,475419035.5290327,1731702168.7088745,Li 2016
070103A,18.4,5.081749889527176,L,,Swift,,,,,2.6208,,L,,,,43.0,17.0,162.0,H beta,,,,,,,,,,,Li 2016
070110,88.4,26.37152829569524,L,,Swift,1.350423323058911,6.620639942605434,3.7525803494748966,2.778817786540253,2.3521,,L,,,,8.9,2.8,10.9,H alpha,6.1572956411785324e-09,,,0.0478630092322638,,,A/Si,1445439770.745928,,,Perley 2016
070125,70.0,27.483313702394977,L,,Konus-Wind,,,,,1.547,,L,,,,1.0,,,[OIII],,,,,,,,,,,Blanchard 2016
070129,460.6,137.97028516654686,L,,Swift,1.0072794785859784,2.511019151188529,1.8391195271957568,1.8258284481060985,2.3384,,L,,,,20.0,7.0,28.0,H alpha,1.4158915687682744e-09,,,,,,,14125375446.227554,,,Perley 2016
070208,47.7,21.981566820276495,L,,Swift,1.0222335850045792,2.635057638448188,1.9054611473749277,1.864017358974164,1.17,,L,0.82,,0.327,,,,Literature,,,,,,,,7413102413.009162,2626801489.7827816,6076526412.907344,"Blanchard 2016, Schneider 2022"
070223,88.5,33.656588705077006,L,,Swift,1.082704576066443,3.1825117896108903,2.188970664855331,2.021761718979748,1.6295,,L,,,,,,,,,,,,,,,3388441561.3920207,,,Perley 2016
070224A,48.0,16.04170844194907,L,,Swift,,,,,1.9922,,L,,,,3.2,2.3,6.5,[OIII],,,,,,,,,,,Li 2016
070306,209.5,83.8,L,,Swift,1.2950905767875636,5.758111705523163,3.386025634847637,2.614508742119474,1.5,,L,0.76,,0.38,38.0,2.0,2.0,Literature,4.110000000000001e-09,,,0.7079457843841379,0.1325058470469809,0.1630178055719428,E,30199517204.02019,3896837285.066376,4474167841.233044,"Blanchard 2016, Perley 2016, Schneider 2022"
070318,74.6,40.54347826086956,L,,Swift,1.541629574029886,10.323572373628286,5.20606950385799,3.376991199156293,0.84,,L,0.827,,0.458,0.79,0.24,0.44,H alpha,2.278384887470023e-09,,,,,,,346736850.452531,,,"Blanchard 2016, Perley 2016"
070328,75.3,24.586149475952592,L,,Swift,1.7255999430174138,15.113665104649993,6.896518797543556,3.996591924710071,2.0627,,L,,,,8.4,4.2,130.7,H beta,9.00076216399588e-10,,,,,,,9332543007.969925,,,Perley 2016
070411A,102.04,25.80808336284081,L,,Swift,,,,,2.9538,,L,,,,,,,,,,,,,,,,,,Li 2016
070419B,238.14,80.4907726627459,L,,Swift,1.2727413121157205,5.43413037818714,3.244665849436166,2.54935218849968,1.9586,,L,,,,21.0,11.0,35.0,H alpha,3.0354235185664487e-09,,,,,,,6918309709.189363,,,"Li 2016, Perley 2016"
070429B,0.47,0.2471083070452155,S,,Swift,1.278880552915326,5.521666151374854,3.2831458367524227,2.567202878539508,0.902,,SF,6.0,5.24,13.44,1.202264434617413,0.8041572640639156,32.68215117930284,SED,4.7863009232263794e-11,3.2014077307652687e-11,1.2110624025619023e-09,0.1174897554939529,0.012776900688863,0.0237639989683224,SED,25118864315.09582,3739243420.073498,40950480485.66382,"Fong 2022, Jeong 2024, Kann 2011, Li 2016, Nugent 2022"
070506A,4.35,1.3145965548504075,L,,Swift,,,,,2.309,,L,,,,0.52,0.13,0.13,Lya,,,,0.2238721138568339,,,A/Zn,,,,Li 2016
070508,20.9,11.483516483516484,L,,Swift,1.5850024881948004,11.33548245430031,5.577761907209001,3.51908716153604,0.82,,L,3.577,,0.277,,,,,,,,,,,,2570395782.7688646,,,"Blanchard 2016, Perley 2016"
070518A,4.35,2.012956964368348,L,,Swift,,,,,1.161,,L,,,,,,,,,,,,,,,,,,Li 2016
070521,37.9,12.26537216828479,L,,Swift,1.5933454050874951,11.5385081046812,5.651316778965606,3.546824662700977,2.09,,L,,,,49.85,2.86,72.33,Literature,8.4e-10,,,,,,,44668359215.09635,205232468.18551636,27775236792.402855,"Perley 2016, Schneider 2022"
070529A,108.9,31.11784203909018,L,,Swift,,,,,2.4996,,L,,,,,,,,,,,,,,,,,,Li 2016
070611A,13.18,4.336382180693557,L,,Swift,,,,,2.0394,,L,,,,280.0,120.0,120.0,IR,,,,,,,,,,,Li 2016
070612A,365.28,218.5996409335727,L,,Swift,1.2835123744513095,5.588559784165143,3.3123788611318963,2.580714395175122,0.671,,L,,,,81.0,,,O[II],,,,0.3981071705534969,0.0818794045366589,0.1030800630737745,log(O/H),,,,"Levesque 2010, Li 2016"
070707,1.1,,S,,INTEGRAL,,,,,,,S,3.25,,0.24,,,,,,,,,,,,,,,"Fong 2022, Kann 2011"
070714B,3.0,1.5600624024960998,S-EE,LC KN,Swift,1.5499581925111898,10.512350836700442,5.276184135638952,3.404081581768768,0.923,,SF,12.33,0.63,0.87,3.715352290971725,3.1783204946014725,21.40351202412407,SED,1.778279410038922e-09,1.6433831217797575e-09,2.2210049780155978e-08,0.309029543251359,0.143070852507603,0.307565458610123,SED,2089296130.8540409,1066003138.5732872,2481585765.294711,"Fong 2022, Jeong 2024, Kann 2011, Li 2016, Nugent 2022, Graham 2009"
070721B,336.86,72.75908246576527,L,,Swift,1.6966413836672294,14.27150957652047,6.610735904394558,3.896366060637805,3.6298,,L,0.327,,0.387,1.25,0.17,0.17,Lya,4.752367454007016e-10,,,0.0072443596007498,,,A/Si,2630267991.8953815,,,"Blanchard 2016, Li 2016, Perley 2016"
070724,0.4,0.2745367192862045,S,,Swift,,,,,0.457,,SF,5.52,0.06,0.18,3.890451449942806,2.268641352583876,41.81836751154471,SED,3.801893963205613e-10,2.730374657968008e-10,1.0839995146699069e-08,0.1778279410038923,0.0,0.0,SED,10232929922.807535,6251858217.272568,9265516074.772877,"Fong 2022, Jeong 2024, Nugent 2022"
070729,0.9,0.5921052631578947,S,,Swift,2.1579440647882837,32.44963768801438,12.126349143143509,5.619399196212822,0.52,,SF,19.72,,14.49,4.570881896148751,4.2160685069151755,41.13793706533877,SED,1.8197008586099822e-10,1.678447104147707e-10,1.366846533051481e-09,0.2691534803926916,0.131115053932403,0.472156760908226,SED,25118864315.09582,6497992948.467167,21654649813.62399,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
070802,16.4,4.753623188405796,L,,Swift,1.189159208422398,4.337303304353875,2.7486521874023166,2.3114248856961934,2.45,,L,1.069,,0.39,32.2,17.8,17.8,Literature,4.79e-09,,,0.2884031503126605,,,A/Si,3715352290.971728,1316519371.9522328,2039047082.399839,"Blanchard 2016, Schneider 2022"
070808,32.0,13.617021276595745,L,,Swift,1.47004286525317,8.797315782460782,4.627007359810305,3.147532272137823,1.35,,,,,,,,,,,,,,,,,2238721138.568338,,,Perley 2016
070809,1.3,0.8825526137135099,S,LC KN,Swift,1.2656974585560172,5.33482156064177,3.2009576455587228,2.5290069312539862,0.473,,Q,34.11,1.98,2.75,1.2589254117941673,0.0,10.22261080317466,SED,1.1220184543019652e-11,0.0,8.427907405912404e-11,0.6025595860743578,0.3626762941724087,0.4939186100688273,SED,70794578438.41373,17091398801.388395,143001630511.8095,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
070810B,0.072,0.0693307655272026,S,,Swift,1.9260606018284725,21.97607955783472,9.091801013109352,4.720412745309368,0.0385,,Q,,,,2.4547089156850306,0.0,0.0,SED,7.585775750291852e-12,0.0,0.0,,,,SED,53703179637.02533,23503662433.00514,3840814096.690338,Jeong 2024
071003A,148.38,56.9739090368038,L,,Swift,,,,,1.60435,,L,,,,,,,,,,,,,,,,,,Li 2016
071010B,36.13,18.556753980482796,L,,Swift,1.0237180656171965,2.647647369207329,1.9121425307165116,1.867840956351285,0.947,,L,0.86,,0.195,,,,,,,,,,,,,,,"Blanchard 2016, Li 2016"
071020,4.2,1.3349437416566017,L,,Swift,1.889513612490434,20.583528539951367,8.66283402231533,4.584689924989459,2.1462,,L,,,,,,,,,,,,,,,2691534803.9269137,,,Perley 2016
071021,225.0,65.21739130434783,L,,Swift,,,,,2.45,,L,,,,90.0,5.0,5.0,Literature,2.7000000000000005e-10,,,,,,,120226443461.74132,13074512937.980837,14669844797.424286,"Perley 2016, Schneider 2022"
071025,109.0,18.79310344827586,L,,Swift,1.2218559891259435,4.745150088741415,2.936567332990838,2.403366156998188,4.8,,,,,,,,,,,,,,,,,15135612484.362072,,,Perley 2016
071031,180.0,48.75406283856988,L,,Swift,0.7819332489462151,1.1039008621497868,1.0062363971919122,1.2868571563467637,2.692,,L,,,,1.28,0.15,0.15,Lya,,,,0.0141253754462275,0.0034101823938514,0.0044954959204011,A/Fe,,,,Blanchard 2016
071112C,15.0,8.22954956932024,L,SN,Swift,,,,,0.8227,,L,1.533,,0.206,,,,,,,,,,,,776247116.6286927,263385732.6373269,320231079.51449454,"Blanchard 2016, Li 2016, SNTABLE"
071117A,6.07,2.60425604942509,L,,Swift,,,,,1.3308,,L,,,,,,,,,,,,,,,,,,Li 2016
071122,68.7,32.10280373831776,L,,Swift,,,,,1.14,,L,0.616,,0.433,,,,Literature,,,,,,,,5623413251.903491,2234971690.5114703,4609516670.904046,"Blanchard 2016, Schneider 2022"
071227,5.0,3.620564808110065,S-EE,,Swift,0.992659071878748,2.3936459020541694,1.7756605662101437,1.7887919594080317,0.381,Spiral,SF,14.8,0.34,0.34,6.309573444801933,4.929189180199049,44.97656495433455,SED,1.8620871366628656e-10,1.6166162450943634e-10,1.763635886091755e-09,0.6918309709189365,0.3027858259246559,0.4301874833830268,SED,33884415613.920204,8765551298.824486,35298681477.97343,"D’Avanzo 2009, Eyles 2019, Fong 2022, Jeong 2024, Kann 2011, Nugent 2022, Sakamoto 2007"
080121,0.32,0.3062200956937799,S,,Swift,,,,,0.045,,SF,,,,3.801893963205611,3.447080573972036,19.640394189993614,SED,2.8183829312644494e-10,2.3397528389418116e-10,2.009029359641325e-09,,,,SED,933254300.7969924,420392916.8056266,1885128630.4674685,Jeong 2024
080123,0.64,0.4280936454849498,S-EE,,Swift,0.9531475469504928,2.0963797520386485,1.61079435713489,1.689973774037899,0.495,,SF,53.63,,7.67,2.4547089156850306,0.9411476672488224,4.958393497324144,SED,2.2387211385683374e-10,8.583368739654566e-11,5.704561208674484e-10,1.288249551693134,0.1917713555499489,0.0921347129097507,SED,10715193052.376047,2005557152.8152523,4420419431.986023,"Fong 2022, Jeong 2024, Nugent 2022, Tueller 2008"
080129A,50.22,9.388670779584968,L,,Swift,,,,,4.349,,L,,,,,,,,,,,,,,,,,,Li 2016
080205,106.5,28.629032258064516,L,,Swift,1.0286554830217625,2.689737347122621,1.9344160102706,1.880528556157684,2.72,,,,,,,,,,,,,,,,,8128305161.640995,,,Perley 2016
080207,340.0,110.03236245954692,L,,Swift,1.3560634351276315,6.71320846033166,3.79122976193401,2.7957613661171994,2.09,,L,6.402,,3.65,250.0,13.0,13.0,Literature,6.9e-10,,,1.1220184543019631,0.3276902195776818,0.4628747381591502,E,199526231496.88828,8980159700.56305,9403381588.515808,"Blanchard 2016, Perley 2016, Schneider 2022"
080210,45.0,12.356187704220323,L,,Swift,1.2172505702417973,4.686191096579263,2.909645154151073,2.390341993081256,2.6419,,L,,,,,,,,,,,0.0616595001861482,0.0190015483059889,0.0274655936272263,A/Si,3162277660.1683793,,,Perley 2016
080310,365.0,106.49471902900156,L,,Swift,0.8599834070607932,1.5006521819239358,1.2603753930938195,1.4655810597572636,2.4274,,L,,,,,,,,,,,0.0501187233627272,0.0184959467610434,0.0293141001097009,A/C,6025595860.743568,,,Perley 2016
080319A,64.0,21.146538906327443,L,,Swift,1.372809219168865,6.994876402775919,3.907690828892141,2.846492268793154,2.0265,,,,,,,,,,,,,,,,,16218100973.58933,,,Perley 2016
080319B,124.86,64.42059642967702,L,SN,Swift,1.946973563744212,22.80185513117472,9.343080254480592,4.798770989223386,0.9382,,L,1.697,,0.929,0.13,,,SED,1.11e-09,,,,,,,117489755.49395303,82816070.44869986,1004528698.8080122,"Blanchard 2016, Li 2016, SNTABLE"
080319C,29.55,10.016949152542372,L,,Swift,1.6410801146549203,12.74970247692186,6.083029774454474,3.7067232246206254,1.95,,L,0.655,,0.167,,,,Literature,,,,,,,,660693448.0075965,461167216.5107082,888123170.9048831,"Blanchard 2016, Li 2016, Schneider 2022"
080325,128.4,46.18705035971223,L,,Swift,1.3568758800020393,6.726823254370545,3.796733746190743,2.798143737498699,1.78,,L,5.89,,0.635,66.09,24.3,24.3,Literature,4.5000000000000005e-10,,,1.5488166189124817,,,E/KK04,56234132519.034904,8371123286.771103,9835212281.72474,"Blanchard 2016, Perley 2016, Schneider 2022"
080330A,67.05,26.692941597993553,L,,Swift,,,,,1.5119,,L,,,,,,,,,,,,,,,,,,Li 2016
080411,56.0,27.58484803704251,L,,Swift,1.2445721762239474,5.044753639190257,3.0718498286512537,2.4681974154133,1.0301,,L,,,,,,,,,,,,,,,346736850.452531,,,Perley 2016
